"Année";"Grande région";"Division économique";"Position professionnelle";"Sexe";"Médiane";"P10";"P25";"P75";"P90"
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";11667;7671;9652;14531;17837
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";10879;4982;8741;13042;18504
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";11864;7891;9774;14709;17830
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";8928;6705;7588;10429;12248
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";8379;6365;7268;10000;12281
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";9099;6832;7724;10531;12248
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";7030;5149;5993;8298;9697
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";6132;4649;5149;7028;8453
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";7386;5678;6306;8689;9889
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";5804;4516;5004;6944;8195
"2020";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";5269;4359;4756;6087;7097
